"",gene_symbol,GSM1820115,GSM1820116,GSM1820117,GSM1820118,GSM1820119,GSM1820120,GSM1820121,GSM1820122,GSM1820123,GSM1820124,GSM1820125,GSM1820126,GSM1820127,GSM1820128,GSM1820129
ENSG00000275288,KIR3DL1,0.378,0,7.5571,1.1448,4.8348,0,0,0,0,6.6507,0,18.1584,5.8629,24.0076,11.3557
ENSG00000275289,LILRP2,0,0,0,0,0,0,0,0,0,0.4336,0,0,0,0,0
ENSG00000275290,LILRA2,82.5256,47.4586,12.2661,15.2399,53.8568,3.0518,6.0421,2.4262,32.4696,63.8556,17.5211,63.7215,24.5493,8.0465,5.1524
ENSG00000275300,MCCC2,12.8456,7.198,3.8154,6.1248,6.8089,38.5586,29.1363,27.2145,33.5152,18.778,23.7363,2.6304,5.6769,13.2576,7.8641
ENSG00000275302,CCL4,48.0068,41.2719,12.1323,15.9256,104.5767,123.0753,49.1248,373.745,171.2439,15.4391,28.9055,121.7592,233.184,659.2701,106.0775
ENSG00000275306,KIR2DS1,0,0.0102,0,0,0.1434,1.6037,0,0,0,0,0,0,0,0,0
ENSG00000275313,CCL4L2,9.8525,4.2314,1.6698,4.2198,2.1556,1.7449,5.7925,693.3689,10.5292,5.816,5.5185,150.8666,304.9067,42.1483,4.9236
ENSG00000275317,KIR2DL4,3.8953,0.2169,1.5728,0,3.2009,0.6363,1.4116,6.9834,6.3444,2.6313,0.373,0,0,0,0.4977
ENSG00000275323,RPS9,5122.5328,2160.571,2387.4277,1790.2259,4319.1543,11468.6967,1855.068,5619.3488,5047.0651,3928.8837,4516.1267,3593.9945,4152.3333,3690.7185,1741.1569
ENSG00000275326,NOSTRIN,150.5134,95.0464,12.7183,19.7624,53.0997,7.1612,35.072,11.3072,56.2307,49.2425,13.5384,20.2889,20.7854,24.3656,21.8648
ENSG00000275330,VSTM1,1.2223,0.3201,0.7558,0,0.2838,0.6878,0.2017,0.0469,1.7578,0,0,0.3412,0.2393,0.1952,0
ENSG00000275331,ABCC6,230.2355,62.1465,84.3534,63.7493,82.4103,17.1225,35.5841,14.7854,190.9607,96.6343,18.9108,43.8891,19.6987,49.5381,67.8403
ENSG00000275333,FAM120B,1952.2334,1020.7717,588.3258,589.0131,846.2714,632.4093,877.3273,1080.6208,2827.3646,1509.4146,942.7157,953.6068,827.8118,1185.486,1042.7023
ENSG00000275334,MIR5787,0,1.9853,0,0,0,0,0,0,2.978,0.9927,0,0,0,0,0.9926
ENSG00000275335,MIR8088,0.9916,0,0,0.6916,0,0.9648,0,0,0,0.9916,0,0,0,0,0
ENSG00000275338,RAB11FIP3,1361.0904,715.2374,497.8426,555.8294,839.4512,501.5027,518.9111,1266.5521,1054.9084,578.5128,547.3182,727.6504,772.7829,877.5622,466.2066
ENSG00000275340,FGD5P1,139.5363,65.5567,47.6295,46.6481,70.0005,17.7804,30.5666,23.7247,122.8098,51.1687,28.1106,20.0758,33.0137,19.7783,36.9362
ENSG00000275342,PRAG1,1736.7365,943.2182,1195.7032,769.2725,1137.5551,3911.6482,2364.6143,2229.0775,7914.3572,2916.5428,4975.6675,4328.8194,768.9248,3782.3258,2048.3266
ENSG00000275344,MIR6503,0,0,0,0,1.0196,0,3.0279,0,20.572,0.9916,0,0,0,8.0599,0
ENSG00000275349,SMN1,367.3008,397.8086,211.1046,240.0539,326.4594,1108.3341,104.5587,600.3635,420.7447,289.3586,504.6375,327.8873,393.1753,979.2023,273.8714
ENSG00000275351,KIR2DS4,20.5627,3.0179,0,0,6.2414,0,0,0,0,0,0,0,7.579,0.0176,0
ENSG00000275353,KIR2DS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275356,C7orf77,18.6424,3.9975,9.6734,12.0064,9.0043,2.2682,5.2211,4.5824,15.9899,8.9078,5.7276,1.0005,4.002,1.2145,4.0683
ENSG00000275360,MIR6868,3.9697,1.9848,3.9697,1.0067,0,0,0.404,0,7.2622,0,1.0067,1.0067,0,3.0201,0.9924
ENSG00000275365,MMP11,496.8874,301.7683,142.5704,180.6081,286.5726,600.313,72.1174,76.7263,556.4727,232.3932,394.9054,184.2218,50.885,258.259,166.5683
ENSG00000275368,TCTE3,431.342,188.0171,105.9737,70.9333,184.2524,26.8389,67.4981,84.0039,251.8384,90.5166,111.3103,95.9015,100.0025,97.7612,72.0084
ENSG00000275373,MIR6124,7.6848,1.6513,6.9093,8.3363,7.9705,0,1.9831,3.0225,5.9292,7.7198,4.03,4.03,4.03,2.015,1.3124
ENSG00000275377,MIR1299,268.5801,194.189,60.4084,106.7783,279.0255,29.2154,40.6313,51.3834,21.813,21.7823,25.188,29.0503,15.1128,61.4595,13.8355
ENSG00000275379,HIST1H3I,4.9688,2.0994,3.0295,2.5048,2.0019,1.0007,5.0973,1.0012,3.0947,3.0261,2.0027,1.0021,1.0782,0,2.1602
ENSG00000275384,TARM1,0,0.5571,0,0,0,0,0.8114,0,2.1,0,0.5217,0.3724,0.3197,0.3014,0
ENSG00000275385,CCL18,41.2841,20.2237,18.4471,15.2736,29.9791,1.6926,0,12.8798,36.425,8.0091,4.4309,10.8174,0,5.7943,0
ENSG00000275391,MIR6770-3,7.9381,1.323,1.323,1.0069,6.3765,0,1.323,0.3356,0.6615,0.9922,2.3493,1.0068,2.3493,0,0
ENSG00000275395,FCGBP,1027.5357,1147.4807,239.4258,731.3021,992.4187,9044.4977,796.0197,660.3094,2038.3875,1532.9444,6313.8907,490.6637,533.0399,2102.6413,485.122
ENSG00000275397,DHRS11,184.3548,89.812,112.2199,89.2151,93.6344,125.0524,159.8843,54.4124,370.4621,157.8417,79.6628,131.3178,89.5351,182.6441,159.902
ENSG00000275399,NLRP2,0,0.0662,0,1e-04,4.7331,0,0,0,64.7946,0,38.2669,0,0,0.0085,0
ENSG00000275404,LILRA5,5.5414,5.2233,5.5001,0.9564,1.0646,5.6056,16.4288,82.452,5.8808,3.3245,1.2134,21.0999,18.1624,14.5819,9.2309
ENSG00000275407,KIR2DL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275410,HNF1B,48.9835,38.7715,17.7471,45.2685,70.0878,5.5634,233.7181,46.1998,6.3546,80.1393,41.7431,76.2465,411.7668,107.0449,41.5987
ENSG00000275411,MIR6882,3.9675,1.9837,0,2.0145,4.2099,0,0,1.0072,3.7439,0.9919,0,0,0,0,0
ENSG00000275416,KIR3DL2,2.7379,0,0,0,0,0,4.9121,4.5164,0,0,0,21.545,9.5322,4e-04,0
ENSG00000275421,KIR2DS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275427,LOC286083,50.1091,22.173,21.176,10.3746,21.7844,3.127,13.2113,8.0465,34.7569,18.6367,3.1252,13.9474,5.8851,8.4254,10.6918
ENSG00000275428,OVOS2,20.9949,11.6099,118.7766,13.3174,38.8188,21.7114,0,0,48.4471,7.8069,129.6857,1009.0184,78.0907,48.6985,74.168
ENSG00000275429,MIR6862-1,0.5441,0.4958,0,0,0.5037,0,1.9833,1.0074,0,0.4958,0,0,0,0,0.9917
